playerid,difference
williea02,1
willijo03,8
willima04,3
willisc01,0
willite01,0
willivi01,10
willsma01,2
wilsoch01,4
wilsoea01,7
wilsoha01,3
wilsoja02,3
wilsoji01,4
wilsowi02,4
winebo01,3
winfida01,6
wingoiv01,3
wolffro01,4
wolfra02,4
woodjo02,1
woodke02,0
woodwi01,7
worreto01,1
wrighda03,2
wrighgl01,1
wyattwh01,12
wynnea01,20
wynnji01,4
wyseha01,3
yastrca01,2
yeagest01,9
yelicch01,1
yorkru01,9
youklke01,3
youngch03,10
youngcy01,11
youngde03,6
youngdm01,11
younger01,4
youngmi02,5
youngro01,3
yountro01,4
zachrpa01,0
zahnge01,9
zambrca01,5
zimmehe01,5
zimmery01,4
ziskri01,3
zitoba01,2
zobribe01,10
